Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q13,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q17D,Q17E
3,3,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,,,2.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,,5.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,,2.0,,,,2.0,,,,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
3,3,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,,4.0,3.0,,4.0,,3.0,4.0,1.0,5.0,,,1.0,,,2.0,2.0,,5.0,,1.0,2.0,5.0,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2,3,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,,2.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,5.0,4.0,3.0,,2.0,3.0,4.0,4.0,,4.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,1.0,,1.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
2,3,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,3.0,,,,,,5.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,,5.0,,,,3.0,,,,1.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
3,2,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,,5.0,5.0,3.0,4.0,,,3.0,2.0,2.0,,4.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
3,2,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,,1.0,,2.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
3,3,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,,,,,1.0,,,3.0,,5.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,,3.0,3.0,,,4.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
4,2,2.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,,,3.0,,,3.0,,4.0,,,,,,,4.0,,,,,5.0,,,,3.0,,4.0,2.0,,,,5.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
5,2,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,,2.0,,,,,4.0,3.0,2.0,3.0,,,,1.0,,3.0,2.0,2.0,3.0,,,,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,,2.0,2.0,,2.0,,,,2.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2,3,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,,2.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0
2,2,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,1.0,5.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
4,3,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,,3.0,,,,,2.0,,,2.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
5,1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,4.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,,,,,,4.0,1.0,,1.0,,1.0,4.0,4.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
3,2,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
5,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,3.0,,3.0,,1.0,,,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,2.0,3.0,,,4.0,1.0,14.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
1,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,,,,,,,,5.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,5.0,1.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
3,2,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,,,,,4.0,1.0,1.0,,4.0,,,4.0,3.0,,2.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
3,2,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,5.0,,,1.0,1.0,,,,,1.0,2.0,11.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
3,2,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,4.0,5.0,2.0,4.0,,,4.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,3.0,2.0,2.0,5.0,,5.0,1.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,2,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,2.0,5.0,1.0,4.0,2.0,9.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
3,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,,3.0,3.0,,2.0,3.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
3,3,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,,2.0,3.0,1.0,3.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0
5,3,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
3,3,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,1.0,4.0,4.0,,2.0,2.0,4.0,2.0,2.0,3.0,3.0,,3.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,2,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
5,2,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,,2.0,3.0,4.0,3.0,2.0,4.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
2,3,3.0,1.0,1.0,,,,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
3,2,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
2,3,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
4,2,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,5.0,4.0,1.0,1.0,5.0,,4.0,3.0,,4.0,2.0,2.0,4.0,2.0,,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,7.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0
3,3,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,,2.0,1.0,,,,5.0,,,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,,,,,,,,,1.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,2,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,5.0,,4.0,3.0,,,5.0,5.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
